# name	name_english	name_short	description	name_short_of_faculty	name_of_university	city
Mathematik (Diplom)	mathematics (diploma)	MA		FMA	Otto-von-Guericke Universität Magdeburg 	Magdeburg
Computermathematik (Diplom)	computer mathematics (diploma)	CMA		FMA	Otto-von-Guericke Universität Magdeburg 	Magdeburg
Technomathematik (Diplom)	techno mathematics (diploma)	TMA		FMA	Otto-von-Guericke Universität Magdeburg 	Magdeburg
Wirtschaftsmathematik (Diplom)	economical mathematics (diploma)	WMA		FMA	Otto-von-Guericke Universität Magdeburg 	Magdeburg
Computermathematik (Bachelor)	computer mathematics (bachelor)	CMAB		FMA	Otto-von-Guericke Universität Magdeburg 	Magdeburg
Computermathematik (Master)	computer mathematics (master)	CMAM		FMA	Otto-von-Guericke Universität Magdeburg 	Magdeburg
